排名,R,G,B,十六进制,像素数量,占比(%)
1,5,4,3,#050403,246935,4.0604
2,25,22,19,#191613,239685,3.9412
3,18,12,7,#120c07,231808,3.8117
4,45,27,16,#2d1b10,188932,3.1067
5,69,50,36,#453224,185730,3.0540
6,54,40,30,#36281e,179028,2.9438
7,147,82,55,#935237,163142,2.6826
8,36,35,31,#24231f,158434,2.6052
9,87,60,41,#573c29,158016,2.5983
10,162,93,66,#a25d42,151039,2.4836
11,68,62,54,#443e36,150401,2.4731
12,98,84,70,#625446,147438,2.4244
13,36,14,4,#240e04,146629,2.4111
14,87,71,57,#574739,142701,2.3465
15,131,70,43,#83462b,139078,2.2869
16,125,108,92,#7d6c5c,135285,2.2245
17,113,95,79,#715f4f,132539,2.1794
18,105,71,49,#694731,128733,2.1168
19,139,123,105,#8b7b69,122315,2.0113
20,51,51,46,#33332e,121672,2.0007
21,67,36,16,#432410,119893,1.9714
22,120,85,59,#78553b,114016,1.8748
23,86,47,24,#562f18,109258,1.7966
24,155,136,115,#9b8873,106823,1.7565
25,150,113,84,#967154,104654,1.7209
26,182,160,137,#b6a089,103695,1.7051
27,135,99,71,#876347,102924,1.6924
28,163,149,132,#a39584,98966,1.6273
29,168,127,94,#a87f5e,94211,1.5491
30,110,57,30,#6e391e,93893,1.5439
31,189,174,155,#bdae9b,93545,1.5382
32,209,188,166,#d1bca6,90561,1.4891
33,180,104,77,#b4684d,90547,1.4889
34,181,145,111,#b5916f,82291,1.3531
35,96,99,91,#60635b,80631,1.3258
36,75,78,74,#4b4e4a,79568,1.3084
37,218,205,187,#dacdbb,73225,1.2041
38,222,72,15,#de480f,71107,1.1692
39,134,141,132,#868d84,70678,1.1622
40,200,138,70,#c88a46,69702,1.1461
41,212,174,138,#d4ae8a,64651,1.0631
42,239,223,201,#efdfc9,63882,1.0504
43,207,155,116,#cf9b74,63437,1.0431
44,112,120,113,#707871,63213,1.0394
45,66,12,4,#420c04,59088,0.9716
46,156,166,157,#9ca69d,58049,0.9545
47,199,125,97,#c77d61,53471,0.8792
48,243,240,230,#f3f0e6,52963,0.8709
49,220,156,82,#dc9c52,49464,0.8134
50,239,194,142,#efc28e,47656,0.7836
51,172,118,56,#ac7638,46451,0.7638
52,240,207,172,#f0cfac,45245,0.7440
53,183,189,183,#b7bdb7,43733,0.7191
54,238,119,46,#ee772e,37462,0.6160
55,239,176,113,#efb071,34092,0.5606
56,210,219,218,#d2dbda,33945,0.5582
57,101,25,10,#65190a,31880,0.5242
58,185,63,21,#b93f15,30793,0.5063
59,146,46,16,#922e10,23433,0.3853
60,245,138,75,#f58a4b,20816,0.3423
61,161,204,217,#a1ccd9,12257,0.2015
62,117,150,181,#7596b5,10874,0.1788
63,50,101,137,#326589,8178,0.1345
64,62,84,215,#3e54d7,6737,0.1108
